area_no,company_name,job_name,salary
6001001001,資拓宏宇國際股份有限公司,行政助理(計畫約聘/駐點氣象署),"月薪35,000元以上"
6001001001,凌網科技股份有限公司,資訊助理人員-駐點,"月薪28,000~35,000元"
6001001001,惠川學苑國際有限公司,行政助理,"月薪28,000~35,000元"
6001001001,財團法人農業科技研究院,研究專員-農政中心(農業循環經濟與產業推動),"月薪42,000元"
6001001001,經典聯合會計師事務所,行政助理,"月薪27,470~27,999元"
6001001001,威肯公共關係顧問股份有限公司,行政助理,"月薪27,470~28,000元"
6001001001,覓食國際餐飲企業有限公司,兼職-數位發展行政助理,時薪183~269元
6001001001,Shopping99_耐德科技股份有限公司,【管理部】會計助理,"月薪30,000~35,000元"
6001001001,鷺鳴國際股份有限公司,[時薪計] 辦公行政助理／工讀生,時薪183元
6001001001,台灣地產股份有限公司,【行政祕書】,"月薪32,000元以上"
6001001001,萬寶華企業管理顧問股份有限公司,派駐公家機關-駐點專案管理師,"月薪37,000元"
6001001001,世界華語文教育學會,誠徵行政秘書(碩士級),"月薪33,769元以上"
6001001001,服部創意有限公司,[ 台北-總公司 ] 產品開發採購部-行政助理 (正職)(無經驗可),"月薪30,000~40,000元"
6001001001,綠世界生態農場_亞馬遜育樂股份有限公司,行政美工助理 (綠世界台北總公司),"月薪33,000~50,000元"
6001001001,金車股份有限公司,海外行政專員－海外國際部,"月薪38,000~43,000元"
6001001001,財團法人中國生產力中心,行政工讀生(北市愛國東路),時薪183元以上
6001001001,德欣寰宇科技股份有限公司,行政助理/會計助理,"月薪30,000~35,000元"
6001001001,三民教育科技股份有限公司,【台北總部】主管行政助理,"月薪28,000~40,000元"
6001001001,MixerBox_易享科技股份有限公司,【月薪 35K 起】客服專員 Customer Service,"月薪35,000元以上"
6001001001,仕新管理顧問有限公司,兼職行政人員(六日+平日),時薪183~300元
6001001001,藝珂人事顧問股份有限公司,"◆金融業中後台內勤職缺◆【世界金融百大知名外商銀行】Operation Specialist 銀行辦事員／起薪35,000起／歡迎金融業相關經驗．商科應屆畢業生以及想轉換領域的您｜BIS_207","月薪33,000~45,000元"
6001001001,巨柏國際股份有限公司,行政業務助理,"月薪34,000元以上"
6001001001,旭榮集團_旭寬企業股份有限公司,集團總管理處_行政助理工讀生(兼職/實習),"月薪27,470元"
6001001001,陳彥儒建築師事務所,長期工讀生,時薪183~200元
6001001001,台灣醫學教育學會,兼任助理,時薪250元
6001001001,臺灣產物保險股份有限公司,行政客服,"月薪32,000元以上"
6001001001,凱基證券股份有限公司,【凱基證券/股務代理部】股務行政助理,"月薪28,000~35,000元"
6001001001,17LIVE_藝啟股份有限公司,B2B 業務部門工讀生/實習生,時薪183元
6001001001,飛買家股份有限公司,免稅暨空中商用品營銷部-運營組專員,"月薪30,000~37,000元"
6001001001,台灣醫學教育學會,專任助理,"月薪33,700元以上"
6001001001,財團法人向陽公益基金會,法務行政助理,"月薪28,000~33,000元"
6001001001,永豐餘消費品實業股份有限公司,H.業務助理(代理育嬰留停),"月薪29,000~35,000元"
6001001001,威力工業網絡股份有限公司,藝術行政（Dagang Art Gallery）,"月薪30,000~40,000元"
6001001001,樂比國際美學有限公司,行政助理(台北),"月薪30,000~45,000元"
6001001001,萬通教育股份有限公司,B2B業務部專案經理,"月薪35,000~38,000元"
6001001001,吉的堡美語東門分校_台北市私立吉得寶文理語文短期補習班,行政人員(台北),"月薪32,000~35,000元"
6001001001,瑞士商福維克有限公司台灣分公司,行銷助理 (Part time),時薪183元以上
6001001001,虹耀建設股份有限公司,業務行政人員,"月薪40,000~45,000元"
6001001001,萬寶華企業管理顧問股份有限公司,【知名金融/產險】行政內勤人員-單純穩定少加班-115PC,"月薪28,000~30,000元"
6001001001,Shopping99_耐德科技股份有限公司,【管理部】工讀生,時薪185~195元
6001001001,峻毅中醫診所,診所助理(管理人員),"月薪35,000~38,000元"
6001001001,字神帝國英語學院_新視界國際文教顧問有限公司,英文編輯助理－台北校,時薪183~190元
6001001001,US3C_優勢科技股份有限公司,總公司｜會計專員,"月薪35,000~37,000元"
6001001001,US3C_優勢科技股份有限公司,總公司｜會計專員,"月薪35,000~37,000元"
6001001001,永豐餘消費品實業股份有限公司,S.電子商務‧行銷企劃助理,"月薪28,000元以上"
6001001001,Impact Hub Taipei_台灣好室有限公司,[Part-time] 社群空間經營組 PT | Community Support,時薪183元以上
6001001001,馬斯克資安顧問股份有限公司,文書助理(兼職),遠端工作
6001001001,和眾綜合診所,櫃檯行政人員,"月薪28,000~35,000元"
6001001001,臺灣產物保險股份有限公司,報表規劃人員,"月薪31,000~36,000元"
6001001001,台北市私立時代國際語文短期補習班,行政客服助理(台北車站附近),時薪183元
6001001001,BONNSU_狀聲詞有限公司,Miniware 線上平台維護兼職人員 (時薪制),時薪183元
6001001001,住商不動產 古亭捷運加盟店_堡勤不動產仲介經紀有限公司,[住商臺北城]古亭捷運店~行政秘書～就是需要妳,"月薪27,470~60,000元"
6001001001,瑞助營造股份有限公司,採發處行政專員,"月薪30,000元以上"
6001001001,得士派人力資源顧問股份有限公司,派駐台北市中正區國立歷史博物館展場服務人員,"月薪28,534元"
6001001001,優實安全衛生管理顧問有限公司,行政助理,"月薪28,000~35,000元"
6001001001,東慧國際諮詢顧問股份有限公司,※【近台北車站】！公股銀行！行政助理(另有分行職缺，歡迎詢問),"月薪28,000元"
6001001001,沃盛管理顧問股份有限公司,總經理秘書/特助,待遇面議
6001001001,東亞建築經理股份有限公司,行政專員,"月薪30,000元以上"
6001001001,台灣西克股份有限公司,行政助理,"月薪28,000~32,000元"
6001001001,鐵山文件儲存服務股份有限公司,檔案文卷掃描作業人員（中正區）,"月薪29,000~31,000元"
6001001001,服部創意有限公司,[ 台北-總公司 ]  業務部_神隊友 | 行政助理 (正職) (無經驗可),"月薪32,000~40,000元"
6001001001,阿爾發證券投資顧問股份有限公司,財務會計助理,待遇面議
6001001001,崑碁電腦股份有限公司,採購助理,"月薪28,000~40,000元"
6001001001,幫痘氏公館皮膚科診所,皮膚科行政助理(B)台大公館,"月薪28,000~40,000元"
6001001001,慧智基因股份有限公司,業務助理(外勤),"月薪28,000~30,000元"
6001001001,福威電競有限公司,行政助理 Executive Assistant,"月薪28,000~38,000元"
6001001001,玩喵有限公司,行政助理工讀生／計時人員（長期佳）,遠端工作
6001001001,星竑科技有限公司,行政工讀生 (學生可),時薪200~250元
6001001001,臺北市VIS世界改造實驗室實驗教育機構,事務行政助理,"月薪30,000~32,000元"
6001001001,資拓宏宇國際股份有限公司,專案助理(B專案計畫駐點-中正區)-智聯部(IADA0),"月薪30,000~32,000元"
